congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
115,House,21308,71,26,CA,100,,,"BROWNLEY, Julia",B001285,1952,,-0.277,0.036,-42.59259,0.92033,513,28,1
115,House,21309,71,29,CA,100,,,"CÁRDENAS, Tony",C001097,1963,,-0.373,-0.012,-47.81146,0.91001,507,20,1
115,House,21311,71,36,CA,100,,,"RUIZ, Raul",R000599,1972,,-0.232,0.048,-59.18401,0.89084,512,30,1
115,House,21312,71,41,CA,100,,,"TAKANO, Mark",T000472,1960,,-0.476,-0.195,-26.40636,0.94826,497,14,1
115,House,21313,71,47,CA,100,,,"LOWENTHAL, Alan",L000579,1941,,-0.443,-0.354,-21.82187,0.9567,493,10,1
115,House,21314,71,51,CA,100,,,"VARGAS, Juan",V000130,1961,,-0.388,0.118,-35.46102,0.93283,510,11,1
115,House,21315,71,52,CA,100,,,"PETERS, Scott",P000608,1958,,-0.174,-0.071,-103.70762,0.81402,504,53,1
115,House,21504,71,11,CA,100,,,"DESAULNIER, Mark James",D000623,1952,,-0.541,-0.244,-21.58979,0.95863,511,12,1
115,House,21505,71,25,CA,200,,,"KNIGHT, Steve",K000387,1966,,0.406,0.165,-56.90313,0.89462,511,31,1
115,House,21506,71,31,CA,100,,,"AGUILAR, Peter Rey",A000371,1979,,-0.28,0.13,-47.55166,0.91064,508,25,1
115,House,21507,71,33,CA,100,,,"LIEU, Ted",L000582,1969,,-0.347,-0.381,-36.47415,0.92297,455,23,1
115,House,21508,71,35,CA,100,,,"TORRES, Norma Judith",T000474,1965,,-0.362,0.023,-33.00921,0.93685,506,16,1
115,House,21509,71,45,CA,200,,,"WALTERS, Mimi",W000820,1962,,0.425,0.185,-37.13701,0.93017,513,12,1
115,House,21703,71,44,CA,100,,,"BARRAGÁN, Nanette Diaz",B001300,1976,,-0.543,0.122,-21.71871,0.95724,497,6,1
115,House,21709,71,24,CA,100,,,"CARBAJAL, Salud",C001112,1964,,-0.313,0.167,-55.84667,0.89666,512,20,1
115,House,21711,71,46,CA,100,,,"CORREA, Jose Luis",C001110,1958,,-0.272,0.343,-78.91572,0.85716,512,42,1
115,House,21728,71,17,CA,100,,,"KHANNA, Rohit",K000389,1976,,-0.587,-0.164,-20.38781,0.96059,507,6,1
115,House,21740,71,20,CA,100,,,"PANETTA, James Varni",P000613,1969,,-0.306,-0.156,-49.04236,0.90866,512,23,1
115,House,21754,71,34,CA,100,,,"GOMEZ, Jimmy",G000585,1974,,-0.591,-0.179,-8.30089,0.96314,221,4,1
115,House,29106,71,43,CA,100,,,"WATERS, Maxine",W000187,1938,,-0.66,-0.084,-28.89449,0.94374,499,12,1
115,House,29312,71,18,CA,100,,,"ESHOO, Anna Georges",E000215,1942,,-0.382,-0.424,-33.33293,0.93661,509,11,1
115,House,29316,71,34,CA,100,,,"BECERRA, Xavier",B000287,1958,,-0.512,-0.283,-0.00649,0.99964,18,0,1
115,House,29317,71,40,CA,100,,,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.47,-0.201,-31.40755,0.93982,506,17,1
115,House,29321,71,39,CA,200,,,"ROYCE, Edward Randall",R000487,1951,,0.663,-0.372,-68.73396,0.87368,509,23,1
115,House,29323,71,42,CA,200,,,"CALVERT, Ken",C000059,1953,,0.348,0.2,-38.27098,0.92729,507,10,1
115,House,29504,71,19,CA,100,,,"LOFGREN, Zoe",L000397,1947,,-0.401,-0.454,-39.80454,0.92362,501,20,1
115,House,29707,71,30,CA,100,,,"SHERMAN, Brad",S000344,1954,,-0.344,-0.15,-38.02991,0.92787,508,18,1
115,House,29778,71,13,CA,100,,,"LEE, Barbara",L000551,1946,,-0.685,-0.635,-23.9676,0.95356,504,17,1
115,House,29901,71,5,CA,100,,,"THOMPSON, Michael",T000460,1951,,-0.394,0.061,-42.9155,0.91775,500,19,1
115,House,29903,71,32,CA,100,,,"NAPOLITANO, Grace Flores",N000179,1936,,-0.446,-0.239,-17.17917,0.95415,366,7,1
115,House,15444,13,25,NY,100,,,"SLAUGHTER, Louise McIntosh",S000480,1929,,-0.465,-0.109,-17.7002,0.96135,449,4,1
115,House,15603,13,16,NY,100,,,"ENGEL, Eliot Lance",E000179,1947,,-0.407,-0.082,-49.75162,0.90345,490,21,1
115,House,15612,13,17,NY,100,,,"LOWEY, Nita M.",L000480,1937,,-0.388,-0.161,-27.9737,0.94652,509,13,1
115,House,20519,13,26,NY,100,,,"HIGGINS, Brian",H001038,1959,,-0.343,-0.032,-39.4649,0.92381,498,13,1
115,House,20733,13,9,NY,100,,,"CLARKE, Yvette Diane",C001067,1964,,-0.605,-0.223,-29.8077,0.94334,511,12,1
115,House,20934,13,20,NY,100,,,"TONKO, Paul",T000469,1949,,-0.423,-0.266,-15.95532,0.96815,493,2,1
115,House,21101,13,23,NY,200,,,"REED, Thomas W. II",R000585,1971,,0.298,0.082,-62.49718,0.88338,504,34,1
115,House,21342,13,6,NY,100,,,"MENG, Grace",M001188,1975,,-0.384,-0.138,-29.97426,0.94237,505,12,1
115,House,21343,13,8,NY,100,,,"JEFFRIES, Hakeem",J000294,1970,,-0.483,-0.084,-27.69858,0.94482,488,14,1
115,House,21344,13,18,NY,100,,,"MALONEY, Sean Patrick",M001185,1966,,-0.228,0.088,-64.69971,0.88086,510,31,1
115,House,21345,13,27,NY,200,,,"COLLINS, Chris",C001092,1950,,0.365,0.232,-34.94229,0.92965,479,9,1
115,House,21539,13,1,NY,200,,,"ZELDIN, Lee M",Z000017,1980,,0.354,-0.096,-63.9743,0.88211,510,25,1
115,House,21540,13,4,NY,100,,,"RICE, Kathleen Maura",R000602,1965,,-0.283,-0.084,-47.2795,0.91146,510,27,1
115,House,21541,13,21,NY,200,,,"STEFANIK, Elise M",S001196,1984,,0.215,0.038,-78.87951,0.85748,513,26,1
115,House,21542,13,24,NY,200,,,"KATKO, John",K000386,1962,,0.209,-0.032,-86.61493,0.84324,508,35,1
115,House,21560,13,11,NY,200,,,"DONOVAN, Daniel M., Jr.",D000625,1956,,0.222,0.143,-73.23059,0.86649,511,25,1
115,House,21715,13,13,NY,100,,,"ESPAILLAT, Adriano J.",E000297,1954,,-0.58,-0.128,-29.45684,0.94398,511,10,1
115,House,21716,13,19,NY,200,,,"FASO, John J.",F000464,1952,,0.257,-0.109,-86.54666,0.84392,510,37,1
115,House,21747,13,3,NY,100,,,"SUOZZI, Thomas",S001201,1962,,-0.196,-0.012,-85.00089,0.84395,501,39,1
115,House,21749,13,22,NY,200,,,"TENNEY, Claudia",T000478,1961,,0.275,0.41,-46.51785,0.91282,510,26,1
115,House,29134,13,15,NY,100,,,"SERRANO, José E.",S000248,1943,,-0.489,-0.394,-34.92611,0.93418,513,13,1
115,House,29375,13,2,NY,200,,,"KING, Peter T.",K000210,1944,,0.26,-0.031,-67.97805,0.87216,497,20,1
115,House,29377,13,10,NY,100,,,"NADLER, Jerrold Lewis",N000002,1947,,-0.51,-0.503,-25.02826,0.95079,496,13,1
115,House,29378,13,7,NY,100,,,"VELÁZQUEZ, Nydia M.",V000081,1953,,-0.545,-0.356,-31.74986,0.93918,506,19,1
115,House,29379,13,12,NY,100,,,"MALONEY, Carolyn Bosher",M000087,1946,,-0.385,-0.286,-37.27409,0.92661,489,14,1
115,House,29776,13,5,NY,100,,,"MEEKS, Gregory W.",M001137,1953,,-0.418,-0.079,-41.42839,0.91861,488,21,1
115,House,29925,13,14,NY,100,,,"CROWLEY, Joseph",C001038,1962,,-0.407,-0.073,-34.62017,0.93297,499,17,1
