congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
115,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.492,-0.205,-22.17303,0.9515,446,16,1
115,House,15621,71,48,CA,200,,,"ROHRABACHER, Dana",R000409,1947,,0.628,-0.401,-71.99362,0.86515,497,29,1
115,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.347,-0.131,-28.13311,0.94643,511,10,1
115,House,20107,71,49,CA,200,,,"ISSA, Darrell",I000056,1953,,0.506,-0.073,-45.06692,0.91495,507,20,1
115,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.344,-0.097,-28.65818,0.94319,490,11,1
115,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.449,0.192,-39.87065,0.92408,505,19,1
115,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.505,-0.164,-22.18034,0.95703,505,10,1
115,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.186,0.469,-122.23666,0.74166,409,64,1
115,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.435,-0.176,-34.84794,0.93268,500,21,1
115,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.258,-0.132,-40.37406,0.92403,511,15,1
115,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.462,0.195,-35.50287,0.93237,507,11,1
115,House,20762,71,14,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.387,-0.444,-29.94671,0.94175,499,11,1
115,House,20903,71,4,CA,200,,,"McCLINTOCK, Tom",M001177,1956,,0.745,-0.518,-40.47705,0.92384,511,11,1
115,House,20955,71,27,CA,100,,,"CHU, Judy",C001080,1953,,-0.503,-0.32,-23.36974,0.95478,505,10,1
115,House,20958,71,3,CA,100,,,"GARAMENDI, John",G000559,1945,,-0.315,-0.095,-41.79057,0.92028,503,16,1
115,House,20963,71,50,CA,200,,,"HUNTER, Duncan Duane",H001048,1976,,0.511,0.151,-53.80264,0.89932,507,19,1
115,House,21109,71,10,CA,200,,,"DENHAM, Jeff",D000612,1967,,0.31,0.18,-59.23338,0.89014,509,32,1
115,House,21110,71,37,CA,100,,,"BASS, Karen",B001270,1953,,-0.562,-0.132,-19.4697,0.96065,485,5,1
115,House,21302,71,1,CA,200,,,"LaMALFA, Doug",L000578,1960,,0.561,0.073,-43.6111,0.91599,497,15,1
115,House,21303,71,2,CA,100,,,"HUFFMAN, Jared",H001068,1964,,-0.436,-0.493,-36.45928,0.92773,486,16,1
115,House,21304,71,7,CA,100,,,"BERA, Ami",B001287,1965,,-0.223,-0.025,-66.89103,0.87753,512,32,1
115,House,21305,71,8,CA,200,,,"COOK, Paul",C001094,1943,,0.384,0.201,-49.50499,0.90801,513,19,1
115,House,21306,71,15,CA,100,,,"SWALWELL, Eric",S001193,1980,,-0.356,-0.103,-46.60045,0.9105,497,27,1
115,House,21307,71,21,CA,200,,,"VALADAO, David G.",V000129,1977,,0.255,0.379,-43.58414,0.91747,506,26,1
