congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
114,House,15448,71,12,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.492,-0.205,-64.20832,0.94002,1038,23,1
114,House,15621,71,48,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.628,-0.401,-167.23193,0.8592,1102,74,1
114,House,20103,71,17,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-57.09059,0.95,1113,27,
114,House,20104,71,28,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.347,-0.131,-84.3106,0.9273,1117,30,1
114,House,20107,71,49,CA,200,0,1,"ISSA, Darrell",I000056,1953,,0.506,-0.073,-139.9412,0.8791,1086,62,1
114,House,20108,71,53,CA,100,0,1,"DAVIS, Susan A.",D000598,1944,,-0.344,-0.097,-95.83452,0.91785,1118,33,1
114,House,20307,71,22,CA,200,0,1,"NUNES, Devin",N000181,1973,,0.449,0.192,-107.0767,0.90906,1123,45,1
114,House,20310,71,38,CA,100,0,1,"SÁNCHEZ, Linda T.",S001156,1969,,-0.505,-0.164,-61.87304,0.94545,1103,30,1
114,House,20501,71,16,CA,100,0,1,"COSTA, Jim",C001059,1952,,-0.186,0.469,-415.50628,0.68136,1083,217,1
114,House,20538,71,6,CA,100,0,1,"MATSUI, Doris",M001163,1944,,-0.435,-0.176,-69.56147,0.93957,1116,27,1
114,House,20702,71,9,CA,100,0,1,"McNERNEY, Jerry",M001166,1951,,-0.258,-0.132,-137.8924,0.88258,1104,46,1
114,House,20703,71,23,CA,200,0,1,"MCCARTHY, Kevin",M001165,1965,,0.462,0.195,-85.01001,0.92634,1111,42,1
114,House,20762,71,14,CA,100,0,1,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.387,-0.444,-89.73555,0.91703,1036,45,1
114,House,20903,71,4,CA,200,0,1,"McCLINTOCK, Tom",M001177,1956,,0.745,-0.518,-125.13043,0.89438,1121,50,1
114,House,20955,71,27,CA,100,0,1,"CHU, Judy",C001080,1953,,-0.503,-0.32,-51.63416,0.95293,1071,19,1
114,House,20958,71,3,CA,100,0,1,"GARAMENDI, John",G000559,1945,,-0.315,-0.095,-163.88651,0.85945,1082,59,1
114,House,20963,71,50,CA,200,0,1,"HUNTER, Duncan Duane",H001048,1976,,0.511,0.151,-131.56859,0.8887,1115,60,1
114,House,21109,71,10,CA,200,0,1,"DENHAM, Jeff",D000612,1967,,0.31,0.18,-165.70372,0.86213,1117,77,1
114,House,21110,71,37,CA,100,0,1,"BASS, Karen",B001270,1953,,-0.562,-0.132,-91.53115,0.91457,1025,43,1
114,House,21195,71,44,CA,100,0,1,"HAHN, Janice",H001063,1952,,-0.39,-0.376,-83.71876,0.926,1089,38,
114,House,21302,71,1,CA,200,0,1,"LaMALFA, Doug",L000578,1960,,0.561,0.073,-108.65992,0.90618,1103,38,1
114,House,21303,71,2,CA,100,0,1,"HUFFMAN, Jared",H001068,1964,,-0.436,-0.493,-82.98859,0.92777,1107,40,1
114,House,21304,71,7,CA,100,0,1,"BERA, Ami",B001287,1965,,-0.223,-0.025,-171.17671,0.85697,1109,74,1
114,House,21305,71,8,CA,200,0,1,"COOK, Paul",C001094,1943,,0.384,0.201,-111.73988,0.90382,1105,43,1
114,House,21306,71,15,CA,100,0,1,"SWALWELL, Eric",S001193,1980,,-0.356,-0.103,-93.50968,0.91728,1083,46,1
114,House,21307,71,21,CA,200,0,1,"VALADAO, David G.",V000129,1977,,0.255,0.379,-111.57362,0.90534,1122,51,1
114,House,21308,71,26,CA,100,0,1,"BROWNLEY, Julia",B001285,1952,,-0.277,0.036,-151.34109,0.8735,1119,75,1
114,House,21309,71,29,CA,100,0,1,"CÁRDENAS, Tony",C001097,1963,,-0.373,-0.012,-110.2679,0.89894,1035,44,1
114,House,21311,71,36,CA,100,0,1,"RUIZ, Raul",R000599,1972,,-0.232,0.048,-169.72018,0.85458,1080,58,1
114,House,21312,71,41,CA,100,0,1,"TAKANO, Mark",T000472,1960,,-0.476,-0.195,-87.88884,0.92485,1125,34,1
114,House,21313,71,47,CA,100,0,1,"LOWENTHAL, Alan",L000579,1941,,-0.443,-0.354,-73.23174,0.93665,1119,28,1
114,House,21314,71,51,CA,100,0,1,"VARGAS, Juan",V000130,1961,,-0.388,0.118,-131.80417,0.8887,1117,62,1
114,House,21315,71,52,CA,100,0,1,"PETERS, Scott",P000608,1958,,-0.174,-0.071,-236.78355,0.80759,1108,111,1
114,House,21504,71,11,CA,100,0,1,"DESAULNIER, Mark James",D000623,1952,,-0.541,-0.244,-65.85499,0.9425,1112,28,1
